Indoor/outdoor condition #;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;;;;;
Fault level (%);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;Condition #;ID (°F);IDP (°F);OD (°F)
RUNNING CONDITIONS;;;;;;;;;;;;;;;;;;2 ;70 ;50 ;70 
Barometric Pressure (inHg):;30,69 ;30,63 ;30,35 ;30,42 ;30,68 ;30,35 ;30,17 ;30,44 ;30,85 ;30,77 ;30,68 ;29,90 ;30,54 ;29,93 ;30,39 ;30,73 ;;3 ;80 ;50 ;70 
Indoor Dry-Bulb Temperature (°F):;70,29 ;80,12 ;69,87 ;80,00 ;69,84 ;79,97 ;69,96 ;79,99 ;69,92 ;80,28 ;70,20 ;80,23 ;70,05 ;79,94 ;70,17 ;80,12 ;;4 ;70 ;50 ;82 
Indoor Dew-Point Temperature (°F):;50,27 ;60,49 ;50,47 ;60,38 ;50,29 ;60,84 ;50,40 ;60,58 ;32,01 ;32,01 ;32,01 ;35,65 ;32,01 ;36,88 ;32,27 ;32,01 ;;5 ;80 ;50 ;82 
Outdoor Dry-Bulb Temperature (°F):;69,69 ;69,96 ;81,73 ;81,76 ;90,03 ;89,95 ;99,92 ;99,97 ;69,91 ;69,77 ;81,91 ;81,83 ;89,86 ;90,09 ;99,88 ;99,89 ;;6 ;70 ;50 ;90 
AIR SIDE CONDITIONS;;;;;;;;;;;;;;;;;;7 ;80 ;50 ;90 
(INDOOR UNIT);;;;;;;;;;;;;;;;;;8 ;70 ;50 ;100 
Inlet Dry-Bulb Temperature (°F):;70,29 ;80,12 ;69,87 ;80,00 ;69,84 ;79,97 ;69,96 ;79,99 ;69,92 ;80,28 ;70,20 ;80,23 ;70,05 ;79,94 ;70,17 ;80,12 ;;9 ;80 ;50 ;100 
Inlet Dew-Point Temperature (°F):;50,27 ;60,49 ;50,47 ;60,38 ;50,29 ;60,84 ;50,40 ;60,58 ;32,01 ;32,01 ;32,01 ;35,65 ;32,01 ;36,88 ;32,27 ;32,01 ;;10 ;70 ;dry;70 
Exit Dry-Bulb Temperature (°F):;49,88 ;58,74 ;50,73 ;59,45 ;50,92 ;59,76 ;51,88 ;60,77 ;46,40 ;53,31 ;47,51 ;54,02 ;48,07 ;54,75 ;49,57 ;56,42 ;;11 ;80 ;dry;70 
Exit Dew-Point Temperature (°F):;46,57 ;55,71 ;47,15 ;56,16 ;47,59 ;56,86 ;48,28 ;57,35 ;32,15 ;32,10 ;32,14 ;36,13 ;32,39 ;37,43 ;32,66 ;32,14 ;;12 ;70 ;dry;82 
Inlet Relative Humidity (-):;0,490 ;0,512 ;0,501 ;0,512 ;0,498 ;0,521 ;0,498 ;0,516 ;0,245 ;0,173 ;0,242 ;0,201 ;0,244 ;0,213 ;0,245 ;0,174 ;;13 ;80 ;dry;82 
Exit Relative Humidity (-):;0,883 ;0,896 ;0,875 ;0,888 ;0,883 ;0,901 ;0,875 ;0,885 ;0,573 ;0,442 ;0,549 ;0,506 ;0,543 ;0,519 ;0,519 ;0,396 ;;14 ;70 ;dry;90 
Evaporator Coil Temp Drop (°F):;20,41 ;21,38 ;19,14 ;20,55 ;18,93 ;20,21 ;18,09 ;19,22 ;23,52 ;26,97 ;22,70 ;26,22 ;21,97 ;25,18 ;20,59 ;23,70 ;;15 ;80 ;dry;90 
Air Flow Rate (SCFM):;1043,6 ;1019,6 ;1030,9 ;1011,9 ;1041,5 ;1008,6 ;1023,0 ;1010,7 ;1066,7 ;1045,8 ;1055,1 ;1014,9 ;1050,2 ;1014,9 ;1042,4 ;1039,5 ;;16 ;70 ;dry;100 
Fan Power Consumption (W):;431,35 ;419,70 ;425,01 ;417,19 ;429,06 ;416,91 ;421,35 ;418,57 ;440,33 ;434,65 ;434,44 ;424,00 ;433,00 ;423,29 ;429,02 ;429,64 ;;17 ;80 ;dry;100 
(OUTDOOR UNIT);;;;;;;;;;;;;;;;;;;;;
Inlet Temperature (°F):;69,69 ;69,96 ;81,73 ;81,76 ;90,03 ;89,95 ;99,92 ;99,97 ;69,91 ;69,77 ;81,91 ;81,83 ;89,86 ;90,09 ;99,88 ;99,89 ;;;;;
Exit Temperature (°F):;84,54 ;87,16 ;96,67 ;98,97 ;104,76 ;107,28 ;114,81 ;116,88 ;83,82 ;85,22 ;95,98 ;97,67 ;104,06 ;105,95 ;114,20 ;115,61 ;;;;;
Condensing Unit Temp Gain (°F):;14,86 ;17,20 ;14,94 ;17,21 ;14,73 ;17,33 ;14,89 ;16,91 ;13,91 ;15,45 ;14,07 ;15,84 ;14,20 ;15,86 ;14,32 ;15,72 ;;;;;
Fan Power Consumption (W):;164,47 ;163,05 ;159,78 ;159,70 ;159,61 ;157,98 ;155,77 ;156,68 ;166,38 ;164,81 ;161,76 ;159,79 ;159,67 ;157,67 ;156,86 ;158,04 ;;;;;
(OVERALL PERFORMANCE);;;;;;;;;;;;;;;;;;;;;
Latent Capacity (Btu/h):;4893,5 ;8542,0 ;4455,9 ;7574,1 ;3632,5 ;7266,5 ;2884,0 ;5927,3 ;0,0 ;0,0 ;0,0 ;0,0 ;0,0 ;0,0 ;0,0 ;0,0 ;;;;;
Sensible Capacity (Btu/h):;23297,5 ;23978,2 ;21596,0 ;22880,0 ;21574,1 ;22444,3 ;20253,5 ;21382,4 ;27277,5 ;30670,9 ;26038,7 ;28969,4 ;25094,2 ;27840,8 ;23345,2 ;26791,1 ;;;;;
Overall Capacity (Btu/h):;28191,0 ;32520,3 ;26051,8 ;30454,2 ;25206,5 ;29710,8 ;23137,5 ;27309,7 ;27167,6 ;30602,3 ;25939,0 ;28564,2 ;24803,3 ;27354,4 ;23042,1 ;26689,7 ;;;;;
Sensible Heat Ratio (-):;0,826 ;0,737 ;0,829 ;0,751 ;0,856 ;0,755 ;0,875 ;0,783 ;1,000 ;1,000 ;1,000 ;1,000 ;1,000 ;1,000 ;1,000 ;1,000 ;;;;;
Overall Power Consumption (W):;2063,0 ;2089,8 ;2276,8 ;2334,6 ;2516,9 ;2540,5 ;2778,5 ;2825,1 ;2067,9 ;2074,2 ;2312,2 ;2325,4 ;2508,1 ;2529,5 ;2783,3 ;2810,2 ;;;;;
NET Cooling EER (Btu/h.W):;13,67 ;15,56 ;11,44 ;13,05 ;10,02 ;11,70 ;8,33 ;9,67 ;13,14 ;14,75 ;11,22 ;12,28 ;9,89 ;10,81 ;8,28 ;9,50 ;;;;;
Evaporator Energy Imbalance (%):;3,41 ;3,99 ;4,08 ;4,30 ;1,90 ;2,67 ;3,07 ;2,86 ;-0,20 ;0,91 ;-1,51 ;0,27 ;-1,61 ;0,16 ;-1,78 ;-2,59 ;;;;;
REFRIGERANT SIDE CONDITIONS;;;;;;;;;;;;;;;;;;;;;
(EVAPORATOR);;;;;;;;;;;;;;;;;;;;;
Inlet Temperature (°F):;45,44 ;53,51 ;46,30 ;54,33 ;47,03 ;55,27 ;48,03 ;55,87 ;43,57 ;49,98 ;45,07 ;51,06 ;45,87 ;51,87 ;46,76 ;53,56 ;;;;;
Exit Temperature (°F):;55,54 ;68,14 ;55,65 ;65,66 ;55,89 ;66,05 ;56,61 ;66,41 ;51,39 ;59,86 ;52,55 ;59,66 ;53,32 ;60,19 ;54,51 ;61,93 ;;;;;
Inlet Pressure (psia):;144,06 ;164,06 ;147,59 ;168,84 ;149,74 ;173,22 ;152,98 ;174,60 ;136,13 ;151,33 ;141,05 ;155,32 ;144,01 ;158,68 ;147,67 ;164,61 ;;;;;
Exit Pressure (psia):;136,44 ;155,47 ;138,41 ;158,78 ;140,11 ;161,98 ;142,36 ;162,94 ;128,45 ;143,19 ;132,29 ;145,94 ;134,57 ;148,44 ;137,21 ;153,33 ;;;;;
Pressure Drop (psid):;7,62 ;8,60 ;9,18 ;10,05 ;9,63 ;11,24 ;10,62 ;11,66 ;7,68 ;8,14 ;8,75 ;9,37 ;9,45 ;10,24 ;10,46 ;11,28 ;;;;;
Exit Superheat (°F):;13,96 ;18,73 ;13,22 ;14,96 ;12,73 ;14,12 ;12,51 ;14,12 ;13,35 ;15,41 ;12,78 ;14,07 ;12,56 ;13,58 ;12,60 ;13,36 ;;;;;
Exit Sat. Temperature (°F):;41,58 ;49,41 ;42,43 ;50,71 ;43,16 ;51,93 ;44,10 ;52,29 ;38,05 ;44,45 ;39,77 ;45,59 ;40,77 ;46,61 ;41,91 ;48,57 ;;;;;
Evaporator Capacity (Btu/h):;29633,9 ;34307,5 ;27602,0 ;32257,1 ;26132,9 ;30955,0 ;24305,6 ;28544,8 ;27552,1 ;31320,6 ;25981,6 ;29065,5 ;24837,2 ;27821,6 ;23061,9 ;26435,9 ;;;;;
(CONDENSER);;;;;;;;;;;;;;;;;;;;;
Inlet Temperature (°F):;129,56 ;133,88 ;147,04 ;147,23 ;159,88 ;158,87 ;176,41 ;174,98 ;129,87 ;130,53 ;147,58 ;147,97 ;160,26 ;160,34 ;177,67 ;175,30 ;;;;;
Exit Temperature (°F):;76,81 ;77,85 ;89,79 ;90,77 ;98,38 ;99,28 ;109,39 ;109,75 ;76,96 ;77,40 ;89,91 ;90,37 ;98,62 ;99,25 ;109,01 ;109,51 ;;;;;
Inlet Pressure (psia):;281,62 ;294,52 ;332,63 ;344,71 ;370,75 ;384,20 ;420,23 ;433,61 ;277,97 ;285,19 ;329,20 ;338,02 ;366,24 ;376,95 ;416,69 ;426,19 ;;;;;
Exit Pressure (psia):;279,11 ;291,65 ;330,42 ;342,08 ;368,71 ;381,75 ;418,32 ;431,41 ;275,68 ;282,54 ;327,10 ;335,67 ;364,29 ;374,78 ;414,87 ;424,12 ;;;;;
Pressure Drop (psid):;2,51 ;2,87 ;2,21 ;2,64 ;2,04 ;2,45 ;1,91 ;2,21 ;2,29 ;2,65 ;2,10 ;2,35 ;1,95 ;2,17 ;1,82 ;2,07 ;;;;;
