experiment,protocol,reference,features,model,label,metric,value,n,note
X0,cv-train,simulated,24-col,random-forest,__global__,f1,0.881119,2625,"5-fold stratified, train only, std=0.0170"
X0,holdout-test,simulated,24-col,random-forest,__global__,accuracy,0.892667,1500,"95% Wilson CI [0.876, 0.907]; selected on val; CV-train F1=0.881±0.017"
X0,holdout-test,simulated,24-col,random-forest,__global__,f1,0.871843,1500,macro; selected on val
X0b,LOMO,target-machine,raw,gradient-boosting,__global__,accuracy,0.333,5386,
X0b,LOMO,target-machine,raw+residuals,gradient-boosting,__global__,accuracy,0.562,5386,
X0b,LOMO,target-machine,residuals,gradient-boosting,__global__,accuracy,0.602,5386,
X0b,LOMO,target-machine,residuals+conditions,gradient-boosting,__global__,accuracy,0.594,5386,
X0b,majority-class,none,,baseline,__global__,accuracy,0.251,5386,reference basse
X0b,random-cv,target-machine,raw,gradient-boosting,__global__,accuracy,0.954,5386,
X0b,random-cv,target-machine,raw+residuals,gradient-boosting,__global__,accuracy,0.973,5386,
X0b,random-cv,target-machine,residuals,gradient-boosting,__global__,accuracy,0.937,5386,
X0b,random-cv,target-machine,residuals+conditions,gradient-boosting,__global__,accuracy,0.945,5386,
X1,LOMO,target-machine,residuals,gradient-boosting,Cond_Blockage,f1,0.299,497,
X1,LOMO,target-machine,residuals,gradient-boosting,Cond_Blockage,precision,0.611,497,
X1,LOMO,target-machine,residuals,gradient-boosting,Cond_Blockage,recall,0.22,497,
X1,LOMO,target-machine,residuals,gradient-boosting,Evap_Airflow,f1,0.288,774,
X1,LOMO,target-machine,residuals,gradient-boosting,Evap_Airflow,precision,0.269,774,
X1,LOMO,target-machine,residuals,gradient-boosting,Evap_Airflow,recall,0.313,774,
X1,LOMO,target-machine,residuals,gradient-boosting,LiquidLine,f1,0.04,593,
X1,LOMO,target-machine,residuals,gradient-boosting,LiquidLine,precision,0.206,593,
X1,LOMO,target-machine,residuals,gradient-boosting,LiquidLine,recall,0.068,593,
X1,LOMO,target-machine,residuals,gradient-boosting,No_Fault,f1,0.741,1352,
X1,LOMO,target-machine,residuals,gradient-boosting,No_Fault,precision,0.722,1352,
X1,LOMO,target-machine,residuals,gradient-boosting,No_Fault,recall,0.837,1352,
X1,LOMO,target-machine,residuals,gradient-boosting,Overcharge,f1,0.674,942,
X1,LOMO,target-machine,residuals,gradient-boosting,Overcharge,precision,0.735,942,
X1,LOMO,target-machine,residuals,gradient-boosting,Overcharge,recall,0.775,942,
X1,LOMO,target-machine,residuals,gradient-boosting,Undercharge,f1,0.832,1228,
X1,LOMO,target-machine,residuals,gradient-boosting,Undercharge,precision,0.748,1228,
X1,LOMO,target-machine,residuals,gradient-boosting,Undercharge,recall,0.961,1228,
X1,LOMO,target-machine,residuals,gradient-boosting,__global__,f1,0.479,5386,macro
X1,LOMO,training-machine,residuals,gradient-boosting,Cond_Blockage,f1,0.067,497,
X1,LOMO,training-machine,residuals,gradient-boosting,Evap_Airflow,f1,0.269,774,
X1,LOMO,training-machine,residuals,gradient-boosting,LiquidLine,f1,0.007,593,
X1,LOMO,training-machine,residuals,gradient-boosting,No_Fault,f1,0.131,1352,
X1,LOMO,training-machine,residuals,gradient-boosting,Overcharge,f1,0.786,942,
X1,LOMO,training-machine,residuals,gradient-boosting,Undercharge,f1,0.481,1228,
X1,LOMO,training-machine,residuals,gradient-boosting,__global__,accuracy,0.318,5386,
X1,LOMO,training-machine,residuals,gradient-boosting,__global__,f1,0.29,5386,macro
X3,LOMO,global-mean-TT-dmin0,residuals,gradient-boosting,__global__,accuracy,0.327777,5386,fold-mean; F1=0.296; mae_h=38.3878
X3,LOMO,global-mean-TT-dmin0,residuals,gradient-boosting,__global__,f1,0.295964,5386,macro; mean of two LOMO folds
X3,LOMO,global-mean-TT-dmin0.1,residuals,gradient-boosting,__global__,accuracy,0.327908,5386,fold-mean; F1=0.296; mae_h=38.6743
X3,LOMO,global-mean-TT-dmin0.1,residuals,gradient-boosting,__global__,f1,0.296012,5386,macro; mean of two LOMO folds
X3,LOMO,global-mean-TT-dmin0.25,residuals,gradient-boosting,__global__,accuracy,0.327494,5386,fold-mean; F1=0.295; mae_h=38.8923
