feature,importance
d_COP,0.2996810594572242
delta_T_cond,0.29318474534394184
delta_T_evap,0.28715558893511206
d_superheat,0.06237465292080713
superheat,0.048304237006689586
d_subcooling,0.004015637422056919
subcooling,0.003968796484274177
P_evap,0.00035119746418856387
d_T_discharge,0.00034948523898005376
d_W_comp,0.00021321084934827422
Q_cond,6.267814027177306e-05
T_cond,5.1855121812890155e-05
capacity_ratio,4.9802323798300776e-05
T_discharge,4.8649376632648356e-05
pressure_ratio,3.390836294480157e-05
W_comp,2.9216867690839006e-05
COP,2.7911343282640555e-05
T_evap,2.2844661275410044e-05
T_suction,2.1073607538317932e-05
T_ambient,1.6434432361871947e-05
compressor_speed_ratio,1.0792846304474343e-05
T_setpoint,1.069904883779086e-05
compression_ratio,8.005750591821268e-06
P_cond,7.516994033584179e-06
