estimator,dew,dmin,acc,f1,acc_14,acc_16,mae_healthy,n
knn-k1-median-unif,TT,0.0,0.6501086696053899,0.505322809965384,0.7297520661157024,0.5704652730950776,0.0,5386
knn-k1-median-unif,TT,0.1,0.5405100784092999,0.4423653382339008,0.5371900826446281,0.5438300741739717,5.6488605423716365,5386
knn-k1-median-unif,TT,0.25,0.5037589931064461,0.4199310533472952,0.48223140495867767,0.5252865812542145,7.955904853095987,5386
knn-k1-median-unif,TT,0.5,0.5010566029324075,0.42366000820916555,0.47851239669421486,0.5236008091706001,8.637465642763116,5386
knn-k1-median-unif,TT,1.0,0.4496177059010382,0.3722831220593439,0.4214876033057851,0.4777478084962913,9.235576143537312,5386
knn-k1-median-unif,TT,2.0,0.4269584213371377,0.34978979959658285,0.4115702479338843,0.4423465947403911,13.8067642955,5386
knn-k1-mean-unif,TT,0.0,0.6501086696053899,0.505322809965384,0.7297520661157024,0.5704652730950776,0.0,5386
knn-k1-mean-unif,TT,0.1,0.5405100784092999,0.4423653382339008,0.5371900826446281,0.5438300741739717,5.6488605423716365,5386
knn-k1-mean-unif,TT,0.25,0.5037589931064461,0.4199310533472952,0.48223140495867767,0.5252865812542145,7.955904853095987,5386
knn-k1-mean-unif,TT,0.5,0.5010566029324075,0.42366000820916555,0.47851239669421486,0.5236008091706001,8.637465642763116,5386
knn-k1-mean-unif,TT,1.0,0.4496177059010382,0.3722831220593439,0.4214876033057851,0.4777478084962913,9.235576143537312,5386
knn-k1-mean-unif,TT,2.0,0.4269584213371377,0.34978979959658285,0.4115702479338843,0.4423465947403911,13.8067642955,5386
knn-k1-mean-dist,TT,0.0,0.6501086696053899,0.505322809965384,0.7297520661157024,0.5704652730950776,0.0,5386
knn-k1-mean-dist,TT,0.1,0.5405100784092999,0.4423653382339008,0.5371900826446281,0.5438300741739717,5.6488605423716365,5386
knn-k1-mean-dist,TT,0.25,0.5037589931064461,0.4199310533472952,0.48223140495867767,0.5252865812542145,7.955904853095987,5386
knn-k1-mean-dist,TT,0.5,0.5010566029324075,0.42366000820916555,0.47851239669421486,0.5236008091706001,8.637465642763116,5386
knn-k1-mean-dist,TT,1.0,0.4496177059010382,0.3722831220593439,0.4214876033057851,0.4777478084962913,9.235576143537312,5386
knn-k1-mean-dist,TT,2.0,0.4269584213371377,0.34978979959658285,0.4115702479338843,0.4423465947403911,13.8067642955,5386
knn-k3-median-unif,TT,0.0,0.6345418879532776,0.49535623763297343,0.7016528925619835,0.5674308833445718,0.7925555961049189,5386
knn-k3-median-unif,TT,0.1,0.5278410135809143,0.4376513437143437,0.518595041322314,0.5370869858395145,5.935518901555763,5386
knn-k3-median-unif,TT,0.25,0.5064726682010443,0.4241589660649405,0.4805785123966942,0.5323668240053945,8.471192509760284,5386
knn-k3-median-unif,TT,0.5,0.4860274571869619,0.4087251576107294,0.4599173553719008,0.512137559002023,8.920837596526393,5386
knn-k3-median-unif,TT,1.0,0.4494707232937479,0.37304983401753367,0.42355371900826444,0.4753877275792313,9.431209882400214,5386
knn-k3-median-unif,TT,2.0,0.4275134722446682,0.3509410749330007,0.4066115702479339,0.44841537424140254,13.887707208321494,5386
knn-k3-mean-unif,TT,0.0,0.5900607713870143,0.47815833084376413,0.6103305785123967,0.5697909642616318,1.5135100706361246,5386
knn-k3-mean-unif,TT,0.1,0.5173695825415313,0.4330422579206228,0.4909090909090909,0.5438300741739717,6.088843844329481,5386
knn-k3-mean-unif,TT,0.25,0.5011665264178597,0.41434839910881704,0.46322314049586777,0.5391099123398516,8.241932105207939,5386
