protocol,reference,label,precision,recall,f1,n
holdout-test,simulated,Normal,0.9200652528548124,0.94,0.9299258037922506,600
holdout-test,simulated,Condenser_Fouling,0.755656108597285,0.7422222222222222,0.7488789237668162,225
holdout-test,simulated,Evaporator_Fan_Fault,1.0,0.9955555555555555,0.9977728285077951,225
holdout-test,simulated,Refrigerant_Undercharge,0.961038961038961,0.9866666666666667,0.9736842105263158,225
holdout-test,simulated,Refrigerant_Overcharge,0.966824644549763,0.9066666666666666,0.9357798165137615,225
sim2real,measured-knn5,Normal,0.577897160399079,0.94125,0.7161198288159771,800
sim2real,measured-knn5,Condenser_Fouling,0.0,0.0,0.0,287
sim2real,measured-knn5,Evaporator_Fan_Fault,0.04721030042918455,0.02268041237113402,0.03064066852367688,485
sim2real,measured-knn5,Refrigerant_Undercharge,0.6155717761557178,0.3489655172413793,0.4454225352112676,725
sim2real,measured-knn5,Refrigerant_Overcharge,0.548,0.4990892531876138,0.5224022878932316,549
LOMO,measured-knn5,Normal,0.7920673076923077,0.82375,0.8075980392156863,800
LOMO,measured-knn5,Condenser_Fouling,0.6593406593406593,0.20905923344947736,0.31746031746031744,287
LOMO,measured-knn5,Evaporator_Fan_Fault,0.3243589743589744,0.5216494845360825,0.4,485
LOMO,measured-knn5,Refrigerant_Undercharge,0.9032258064516129,0.926896551724138,0.9149081007488087,725
LOMO,measured-knn5,Refrigerant_Overcharge,0.6441102756892231,0.4681238615664845,0.5421940928270043,549
